Player,Team,Pos,Injury,Status,Est. Return
Garrett Acton,TB,P,Elbow,Out,Subscribers Only
Ronald Acuna,ATL,OF,Knee,60-Day IL,Subscribers Only
Francisco Acuna,PIT,3B,Undisclosed,7-Day IL,Subscribers Only
Jo Adell,LAA,OF,Illness,Day-To-Day,Subscribers Only
Glenn Albanese,LAA,P,Undisclosed,60-Day IL,Subscribers Only
Sandy Alcantara,MIA,P,Elbow,60-Day IL,Subscribers Only
Pablo Aldonis,WSH,P,Undisclosed,60-Day IL,Subscribers Only
Franco Aleman,CLE,P,Lat,7-Day IL,Subscribers Only
Matt Allan,NYM,P,Elbow,60-Day IL,Subscribers Only
Greg Allen,NYY,OF,Undisclosed,7-Day IL,Subscribers Only
Yency Almonte,CHC,P,Shoulder,60-Day IL,Subscribers Only
Dan Altavilla,KC,P,Oblique,60-Day IL,Subscribers Only
Yordan Alvarez,HOU,OF,Hip,Day-To-Day,Subscribers Only
Adbert Alzolay,CHC,P,Forearm,60-Day IL,Subscribers Only
Ian Anderson,ATL,P,Elbow,60-Day IL,Subscribers Only
Tejay Antone,CIN,P,Elbow,60-Day IL,Subscribers Only
Jonathan Aranda,TB,DH,Oblique,7-Day IL,Subscribers Only
Christian Arroyo,MIL,2B,Undisclosed,7-Day IL,Subscribers Only
Edwin Arroyo,CIN,SS,Shoulder,60-Day IL,Subscribers Only
Aeverson Arteaga,SF,SS,Neck,60-Day IL,Subscribers Only
Graham Ashcraft,CIN,P,Elbow,15-Day IL,Subscribers Only
Javier Assad,CHC,P,Forearm,15-Day IL,Subscribers Only
Nick Avila,BAL,P,Undisclosed,7-Day IL,Subscribers Only
Juan Baez,MIL,3B,Undisclosed,7-Day IL,Subscribers Only
Anthony Baptist,NYM,OF,Suspension,Suspension,Subscribers Only
Caleb Baragar,MIN,P,Undisclosed,7-Day IL,Subscribers Only
Daniel Bard,COL,P,Elbow,60-Day IL,Subscribers Only
Brandon Barriera,TOR,P,Elbow,7-Day IL,Subscribers Only
Braden Barry,TOR,OF,Undisclosed,60-Day IL,Subscribers Only
